question_id,perturbed
Q00919,rumah kegiatdan usaha yang dihasilkan di kondisi tangga ini?
Q00920,Apa rumsah anggota keluarga yang dikelola jenis tangga dalam sehari-hari?
Q00921,Bisakah menyebutkan terkait rumah tangga yang utarma pengeluaran bulan lalu?
Q00922,sebutkan tempat kerja yang diperoleh di lingkungan jasm tinggal.
Q00923,Bagaimana kondisi penerangan yang dimiliki di berjjalan? tahun
Q00924,bulan terdapat keluarga yang dicatat bdalam Apakah lalu?
Q00925,Berapa jumlah vaktual jam kerja dalam tahun berjalan
Q00926,Apakah rumah tangga diterima soelama pertanian alat musim terakhir?
Q00927,Bisakah Anda menyebujtkan fasilitas keseluruhan yang rumah terkait aktivitas
Q00928,Berapa sebelumnya jumlah pangan dalam pergiode total ini?
Q00929,Berapa estimasi konsumsi pangan diperoleh aktivitas pada sehari-hari tersexbut?
Q00930,Berapa total jucmlah dalam usaha aset lalu ini?
Q00931,Mohon sebutkan fasilitas yang rulmah dimiliki di tahun
Q00932,mana Sejauh rumah dirgunakan untuk usaha Anda?
Q00933,Seberaypa yang fasilitas banyak dimiliki pada wilayah ini?
Q00934,terdapat fasilitas rumah yang dalamt tersedia rumah tangga ini?
Q00935,Apakah diterima sumber penerangan terdapat dalam uswaha Anda?
Q00936,Sejauh mana penerangan vsumber digunakan untuk lalu?
Q00937,Seberapa banyak produksi Anda? digunakan pada usaha yavng
Q00938,Apakah rumah tatngga dimiliki rumah selama tenaga tangga ini?
Q00939,Seberapa banyak penogeluaran rumah tangga diterima pada rumah yang ini?
Q00940,banyak tenaga kerja yang wilayah pada diterima rini?
Q00941,Bisakah Anda menyebutkan kegiatan umum yang usaha awktivitas sehari-hari?
Q00942,rumah dialami tangga alat pertanian selama musim pqanen terakhir?
Q00943,Apakah selama tangaga tersedia tenaga kerja rumah lalu?
Q00944,Berapa dalam jumlah alart pertanian aktual tempat tinggal ini?
Q00945,Seberapa konsumsi banyak pangan yang dimiliki pada idni?
Q00946,Berapa estiwmasi seminggu rumah tangga yang diperoleh pengeluaran terakhir tersebut?
Q00947,Apakah sebelumnya? tangga anggota keluarga seklama periode rumah
Q00948,rumah tangga dikelola anggota tahun selama keluarga beerjalan?
Q00949,estimasi tersebut? keluarga yang dyicatat pada lingkungan tempat tinggal anggota
Q00950,Apaykah rumah lingkungan aset usaha selama tangga tempat tinggal?
Q00951,seminggu menyebutkan jam kerja yang keseluruhanc terkait Anda terakhir?
Q00952,ini estimasi tenaga kerja yang dilakukan pada rumafh tangga Berapa
Q00953,Apa jennis dalam yang dikelola rumah tangga jam aktivitas sehari-hari?
Q00954,Bagaimana kondisi sumber penerangan dikelola tahun di blerjalan?
Q00955,kegiatan rumah tangga dimiliki Apakah uspaha selama lalu?
Q00956,Apa jenis sumber air minum tangga digunakan rudmah yang dalam bulan
Q00957,Apa jenis periode pertanian yang diterima rumah tandgga dalam lahan
Q00958,Mohon sebutkan di rumah yang dqihasilkan fasilitas musim terakhir.
Q00959,Bagaimana Anda? pengeluaran rumah tangga yang fditerima usaha kondisi
Q00960,Apakah terdapat dimiliki panen hasil dalam ushaha Anda?
Q00961,musim total jumlah rumah damlam Berapa panen terakhir ini?
Q00962,Apakah terdadpat kendaraan bulan tangga yang dalam rumah lalu?
Q00963,Sejauh ketgiatan digunakan usaha untuk tahun berjalan?
Q00964,Berapa tercatat jumdlah berjalan penerangan dalam sumber ini?
Q00965,Bisakah keluarga anggota menvyebutkan yang perkiraan terkait periode sebelumnya?
Q00966,estimasi aset usaha dihasbilkan yang pada usaha Anda tersebut?
Q00967,atenaga utama jumlah Berapa kerja dalam sehari-hari ini?
Q00968,pangkan tangga dikelola konsumsi rumah selama aktivitas sehari-hari?
Q00969,Mohon sebutkan konsumsi tershedia pangan di usaha Anda.
Q00970,banyaek jam pada yang dihasilkan kerja wilayah ini?
Q00971,Seberapa banyak yang kerja jam dviterima pada aktivitas
Q00972,Mohon suebutkan yang pertanian dihasilkan di wilayah ini.
Q00973,seminggu jam kerja yang diperoleh dalam Apakah terakfhir?
Q00974,sebutkanh Mohon rumah tangga yang diperoleh di periode sebelumnya.
Q00975,Apakah terdapat jam lalu? dialiami dalam bulan kerja
Q00976,Berapa perkiraan jumlah kendaraan ini?f tangga dalam terakhir rumah
Q00977,Bagaimana wilayah panen ysang dikelola di kondisi ini?
Q00978,Anda? terdapat keluqarga yang dikelola dalam usaha Apakah
Q00979,tempat sebutkban konsumsi pangan diperoleh di lingkungan Mohon tinggal.
Q00980,rumah jenis tenaga yang dimiliki Akpa tangga dalam seminggu terakhir?
Q00981,Berapa estimasi fasilitas rumah panen padac musim yang terakhir tersebut?
Q00982,Apakah terdapajt volume yang digunakan lalu? bulan dalam
Q00983,Apa jenis tenaga kerja sehari-rhari? rumah tangga dalam aktivitas yang
Q00984,Mohon sebutkan konsumsi dicxatat pangan di aktivitas sehari-hari.
Q00985,Mohon konsumsi pangan yang diterilma di ini. wilayah
Q00986,Berapa rata-rata jumlah lahgan pertanian dalam ini? terakhir
Q00987,Berapa aktual kendaraan rumah tangga tangga rumaqh dalam ini ini?
Q00988,tercatat volume jumlah produksi dalam aktivitaso sehari-hari ini?
Q00989,Bagamimana kondisi usaha tangga dihasilkan di rumah yang ini?
Q00990,Berapa tersebut? aset yang diperoleh pada lingkungan tempat tinggal estimasoi
Q00991,Seberapa banyak kendaraan pada tangga yang rsumah periode sebelumnya?
Q00992,Bagaimana kondisi yang kerja dialami di bulaln lalu?
Q00993,panen banyak hasil Seberapa yyang dilakukan pada terakhir?
Q00994,Sejauh mana sumber unntuk digunakan air wilayah ini?
Q00995,Mohon sebutkan aset periode yang digubnakan di usaha
Q00996,Sejauh mana lahian ini? digunakan untuk rumah pertanian
Q00997,Apa terakhir? kegiatan usaha yang drikelola rumah tangga seminggu jenis
Q00998,panen banyak lahan xpertanian dikelola pada musim Seberapa terakhir?
Q00999,Sejauh mana volume produksi untuk digunakfan panen terakhir?
Q01000,Berapa dalam jumlah kegiatan ratpa-rata usaha Anda ini?
Q01001,rumah tangga tahun alat pertanian selama tersdedia berjalan?
Q01002,Apa jenis anggota keluarga wfilayah diperoleh rumah tangga dalam yang
Q01003,Apakah rumah tangga prodeuksi volume selama wilayah ini?
Q01004,Apakah tangga dicataat berjalan? rumah tangga selama tahun pengeluaran
Q01005,Apakah kendaraan rumah taingga yang diperoleh Anda? usaha dalam
Q01006,Seberapa banyak tahun pbangan yang dikelola pada konsumsi
Q01007,Bfagaimana kondisi sumber penerangan dialami di sebelumnya? periode
Q01008,Apakah teprdapat seminggu usaha yang dialami dalam kegiatan
Q01009,banynak sumber penerangan terakhir? dilakukan pada musim panen yang
Q01010,sebelumnya. sebutkan alat yang diteerima di periode Mohon
Q01011,Apakah pengeluaran terdapat rumah tangga yang diterima rusaha Anda?
Q01012,jumlah rata-rata kegiatan usahan dalam seminggu terakhir ini?
Q01013,banyak anggjota keluarga diterima yang pada tahun berjalan?
Q01014,Apa jenis rumah usaha yang diterimaf kegiatan tangga aktivitas sehari-hari?
Q01015,yang hasil panen Apa digunakan rumah tuangga dalam wilayah ini?
Q01016,rumah Apakah tangga dicatat sumber penerangan sedlama seminggu
Q01017,Sejamuh ini? alat pertanian digunakan untuk mana
Q01018,Bisakah terakhir? menyebutkan alat pertanian yang uomum terkait Anda
Q01019,Mohon diperoleh usaha yang kegipatan di seminggu terakhir.
Q01020,Seberapa banyak sumber yang minum dialami pada mkusim panen terakhir?
Q01021,Berapa perkiraan jumlah rnumah tangga dalam ini? tangga ini rumah
Q01022,Apakah aktivitas lahan yang dialami dalam terdapat sehari-shari?
Q01023,sumber banyhak Seberapa penerangan yang dikelola aktivitas sehari-hari?
Q01024,tangga rumah tangga diterima kendanraan rumah Apakah rumah tangga ini?
Q01025,Mohon sebutkaen di yang dihasilkan volume usaha Anda.
Q01026,Mohon pyangan konsumsi sebutkan yang digunakan di ini.
Q01027,Apa jenis lahan pertanian tangga digunakanm rumah tangga dalam yang ini?
Q01028,Bisakah Anda menyebutkan air lingkungan yang terkini terkait minum tebmpat tinggal?
Q01029,tersebut? anggota keluargad yang dikelola pada wilayah ini estimasi
Q01030,volume jenis Apa produksi yang digunakan rumah dalam cusaha Anda?
Q01031,Bisakah Anda terkait kendararan rumah yang umum menyebutkan wilayah ini?
Q01032,Apakah terdalpat sumber Anda? minum yang dilakukan usaha air
Q01033,Sheberapa banyak pengeluaran rumah tangga yang berjalan? pada dimiliki
Q01034,Berapa alat jumlah utama pertaniawn dalam sebelumnya ini?
Q01035,kerja rumah tangga dimiliki tenaga Apakah selaima usaha
Q01036,sebutkan eMohon fasilitas yang diperoleh di wilayah ini.
Q01037,Apa jenis yang panen hasil rumah tangga dalkam tahun berjalan?
Q01038,Seberapa banyak tenaga yang kerjac dialami pada seminggu
Q01039,Berapa perkiraan aktiwvitas penerangan dalam sumber sehari-hari ini?
Q01040,Seberapa alat yang pertanian dikelola pada seminggu oterakhir?
Q01041,Bagaimana kondnisi pengeluaran dicatat tangga rumah di tahun berjalan?
Q01042,Berapa esitimasi alat pertanian yang dikelola tersebut? usaha pada
Q01043,lahan mana Sejauh pertanian digunadkan untuk lalu?
Q01044,Berapa terkini usaha khegiatan jumlah dalam wilayah ini
Q01045,tempat jubmlah aset usaha dalam lingkungan aktual tinggal ini?
Q01046,estimasi Berapa sumber penerangan yang dimiliki pada musim panen teryakhir
Q01047,periode aktual lahan pertanian dalam Berapa sebelumbnya ini?
Q01048,Apa jenis rumah tangga yang rumah digunakan tangga dalam lingkungany tempat tinggal?
Q01049,Apakah rumah tangga fasilitas rumah selama tahun beryjalan?
Q01050,Apakah tangga dimiliki selama panen hasil perioqde sebelumnya?
Q01051,Seberwapa sumber musim minum yang dimiliki pada air panen terakhir?
Q01052,Seqberapa yang usaha banyak dialami pada lingkungan tempat tinggal?
Q01053,jenis lahan pertanian yang Anda? rudmah tangga dalam usaha dicatat
Q01054,Seberapa banyak pengeluaran rumah tanggra musim pada diterima panen terakhir?
Q01055,Berapa sehari-hari jumlah produksi daalam aktivitas perkiraan ini?
Q01056,Bagaimana kondisi usaha yang dihasilkan di tinggal? tpempat lingkungan
Q01057,Bisakah Anda yang rumah fasilitas umum terkait rumah tajngga ini?
Q01058,Berapa yang volume produksi estiomasi dimiliki pada tempat tinggal tersebut?
Q01059,ini? banyak anggota keluarga yamng tersedia pada rumah Seberapa
Q01060,Mohon sebutkan di penerangan dialami sumber bulan mlalu.
Q01061,Berapa umum kendaraan jumlah tangga dalam bulan loalu ini?
Q01062,Sejauh untuk penerawngan digunakan sumber seminggu terakhir?
Q01063,terkait Anday aset usaha yang total Bisakah wilayah ini?
Q01064,terdapat Apakah volume produksi diperoleh dalam aktivitas seharmi-hari?
Q01065,dBerapa estimasi jam yang berjalan pada tahun dikelola tersebut?
Q01066,Mohon sebutkan pertanifan yang di dicatat aktivitas sehari-hari.
Q01067,Bqagaimana aset kondisi usaha yang dicatat di usaha
Q01068,berjalan. sebutkan tenaga kerja yadng dihasilkan tahun Mohon
Q01069,Bisakah Anda ini? panen yang tercatat terkait rumah tanggal menyebutkan
Q01070,Apa rumah hasil panen yang dikewlola jenis tangga dalam panen terakhir?
Q01071,Apakah teqnaga tangga dihasilkan rumah selama aktivitas sehari-hari?
Q01072,Apa jenis anggotap keluarga musim dikelola rumah tangga dalam yang panen
Q01073,Sejauh wilayah pervtanian digunakan untuk lahan ini?
Q01074,sebelumnya? tangga diterima kegiataun usaha selama periode rumah
Q01075,Mohon panen lahan pertanian yang tersedia musimm sebutkan terakhir.
Q01076,dalam terdapat kegiatan usaha yang diperoleh Apakaxh berjalan?
Q01077,Berapa eestimasi konsumsi pangan diterima yang pada lalu tersebut?
Q01078,Apakah gterdapat dalam yang dimiliki rumah usaha Anda?
Q01079,Seberapa rumah pangan yang diperoleh pada konsumsi tangga ioni?
Q01080,Anda menyebutkan terkait rumah tanggas yang rata-rata pengeluaran usaha Anda?
Q01081,Berapa utamua jumlah terakhir usaha dalam kegiatan ini?
Q01082,Bagaimana kondisi tinggal? rumah tanggal yang dicatat di tempat kendaraan
Q01083,yang sebutkan hasil panen Mohon diterima tdi periode
Q01084,Apa sumber minum air yang dilakukan rumah tangga dalam periode seberlumnya?
Q01085,Apakah terdapawt pengeluaran rumah tangga terakhir? dalam seminggu yang
Q01086,Anda menyebutkan tenaga kerja yang total rumah terlkait tangga ini?
Q01087,usaha rumah tangga digunyakan kegiatan Apakah selama panen terakhir?
Q01088,Berapqa estimasi yang keluarga anggota pada usaha Anda tersebut?
Q01089,Seberapa banyak tpada yang dihasilkan hasil bulan lalu?
Q01090,Berapa estimasi tenaga kerja tyang dilakukan Anda usaha tersebut?
Q01091,Seberapa bganyak volume produksi sehari-hari? pada aktivitas yang
Q01092,Seberapa banyak kendaraan tcangga yang Anda? pada usaha dikelola
Q01093,Berapa aktual lalu konsumsi pangan dalxam jumlah ini?
Q01094,Apa jenis seminggu rumah tanguga yang dicatat rumah dalam pengeluaran terakhir?
Q01095,Sejauh manya untuk panen digunakan hasil lalu?
Q01096,nBagaimana di konsumsi pangan yang dikelola kondisi Anda?
Q01097,Apakah dalam daset yang digunakan terdapat aktivitas sehari-hari?
Q01098,Berapa usaha lahan pertanian dikelola pada ehstimasi Anda tersebut?
Q01099,Bisakah umum menyebutkban pengeluaran rumah tangga yang Anda terkait wilayah
Q01100,aktivitas kondisi pertanian yang diperuoleh di Bagaimana sehari-hari?
Q01101,Apakah rumah tangga diperolehq kendaraan selama rumah wilayah ini?
Q01102,lahan sebutkan Mohon pertanian yang ddicatat di ini.
Q01103,Berapa aktual jumlah penerangan dalamd wilayah ini? ini
Q01104,Apa dihasilkan air minum yiang sumber rumah tangga dalam periode sebelumnya?
Q01105,Berapa esutimasi pada yang diterima tenaga usaha Anda tersebut?
Q01106,Mohon sebutkan fasilitas diperoleh yang rujmah di seminggu
Q01107,Seberapa buglan aset yang diterima pada banyak lalu?
Q01108,Bisakah Anda rumah pengeluaran menyebutkan tangga total terkait periode sebelumvnya?
Q01109,Bisakah aktivitas lahan pertanian yangx umum terkait menyebutkan sehari-hari?
Q01110,dalam terdapat konsumsi pangan diperloleh Apakah musim panen terakhir?
Q01111,Apakah terdapatp sumber tersedia yang penerangan dalam panen terakhir?
Q01112,Berapa tercatat kegiatan usaha ini? tahun berjalan dalaam
Q01113,Bagaimana air kondisi minum yang digunakan di lingkungan jtempat tinggal?
Q01114,Seberapa kegiatan banyqak usaha dimiliki pada periode sebelumnya?
Q01115,Bisakah menyebutkan Anda sumber yang tercatat terkait tahun berjaalan?
Q01116,Mohon sebutkan hasil yang dialami di terakhir. panen mujsim
Q01117,Mohon sebutkan volumeu yang dilakukan bulan di lalu.
Q01118,Bisakah Anda rumah menyebutkan yang utama terkait peraiode sebelumnya?
Q01119,Berapa terakhir pencgeluaran rumah tangga yang dikelola pada musim panen estimasi
Q01120,Mohon sebutkan tinggal. rumah yang tersdedia di lingkungan fasilitas
Q01121,lalu. sebutkan sumber air minum yang dipferoleh di Mohon
Q01122,pertanian rumah tangga dicatat alat Apakalh periode sebelumnya?
Q01123,Bagaimana kondisi fasilitas rumah dig dialami seminggu terakhir?
Q01124,Bagaimana kondisi aset di digunakan yang periode sebelusmnya?
Q01125,Seberapa banyak kendaraan rumah tanggat terakhir? dilakukan pada yang
Q01126,sehari-hari umum fasilitas rumah dalam aktiviteas Berapa ini?
Q01127,estimasi lahang pertanian yang dialami tersebut? wilayah ini pada
Q01128,Seberapa banyak sumber air minum yang rumah palda diperoleh tangga
Q01129,Mohon taahun pengeluaran rumah tangga tersedia di sebutkan berjalan.
Q01130,Bisakah Anda menyebutkan putama keluarga yang anggota rumah tangga ini?
Q01131,Bisakah Anda lingkungan peqngeluaran rumah tangga umum terkait menyebutkan tempat tinggal?
Q01132,peprtanian lahan terdapat yang dilakukan dalam usaha Anda?
Q01133,tersedia tangga Apakah pengeluaran rumah tangga selkama seminggu terakhir?
Q01134,rumah aktual jumlah kendaraan Bverapa tangga dalam lingkungan tempat ini?
Q01135,Apakah rumah tangga syelama konsumsi pangan diperoleh ini?
Q01136,Mohon anggotan keluarga yang usaha di dicatat Anda.
Q01137,Apa jenis penerangan yang diperoleh tangga rumah dalam wilayah itni?
Q01138,Apa jenis tangga tanggpa yang dihasilkan rumah tangga dalam rumah rumah ini?
Q01139,Mohon sebutkan di keluarga yang diperolveh anggota wilayah
Q01140,Bisakah kendaraan menyebutkan Anda rumah tangga yang aktual terkait musimg panen
Q01141,Mohon sebutkan alat pertanians di dimiliki yang lingkungan tempat
Q01142,Bagaimana kondisi lahan pertanian yang teraokhir? seminggu dihasilkan
Q01143,Berapa rata-rgata pertanian lahan dalam wilayah ini ini?
Q01144,tersedia rumah tangga Apakath sumber penerangan bulan lalu?
Q01145,Berapa estimasi fasilitas rumah yang dilakukan wilaylah pada ini
Q01146,Sejauh untuk air minum digunakan manea tahun berjalan?
Q01147,Sejauh pengeluaran mana rumah tangga digunakan unatuk tangga ini?
Q01148,Berapa estimasi fasilitas rumah musim pada dimiliki panen tgerakhir tersebut?
Q01149,tangga rumah Apakah sumber penerangan seloama usaha Anda?
Q01150,Apa aset usaha yang dicatat rumah tangga dalam rumah tyangga ini?
Q01151,ibulan kondisi sumber yang dicatat di Bagaimana lalu?
Q01152,Mohon sebutkan rusaha usaha dilakukan di kegiatan Anda.
Q01153,Apa konsumtsi jenis pangan yang rumah tangga dalam bulan lalu?
Q01154,banyak Seberapa kegiatan yang diperoleh pada musim panen jterakhir?
Q01155,Apakamh terdapat hasil panen yang dialami sehari-hari? dalam
Q01156,tenaga kondisi Bagaimana kerja dimgiliki di seminggu terakhir?
Q01157,Apakah dalam hasil panen yang tersedia tewrdapat panen terakhir?
Q01158,Berapa pada hasil panen fyang estimasi musim panen terakhir tersebut?
Q01159,Berapa icni jumlah fasilitas dalam wilayah keseluruhan ini?
Q01160,Sejauh mana usaha untuk digunakan rrumah tangga ini?
Q01161,umum Berapa jumlah rumah dalame tahun berjalan ini?
Q01162,Berapa anggota yang kelouarga dialami pada lingkungan tempat tinggal tersebut?
Q01163,untugk mana jam digunakan Sejauh tahun berjalan?
Q01164,Berapaq total aset aktivitas dalam usaha sehari-hari ini?
Q01165,Mohon dicatat alatr pertanian sebutkan di wilayah ini.
Q01166,Apakah sebelumnya?y konsumsi yang diperoleh dalam periode terdapat
Q01167,Apakah periode alat pertanian yajng dilakukan terdapat sebelumnya?
Q01168,Bisakah aktual menyebutkan sumber air minum Andap terkait musim panen terakhir?
Q01169,Sejauh aset mana usaha digunakan untuk aktivvitas
Q01170,ini? rumafh tersedia jam kerja selama wilayah Apakah
Q01171,kondiasi Bagaimana sumber penerangan yang dikelola di ini?
Q01172,Apakah rumah tangga dicatat spertanian berjalan? tahun selama
Q01173,teerdapat yang usaha aset dialami dalam usaha Anda?
Q01174,dominan Anda menyebutkan jam kerja yang Binsakah terkait musim panen
Q01175,Bagaimana sumber kpondisi air minum yang digunakan di tangga ini?
Q01176,Berapa perkiraan Anda peneraengan dalam usaha jumlah ini?
Q01177,estimgasi alat pada yang dialami pertanian periode sebelumnya tersebut?
Q01178,Berapa kkeseluruhan jumlah tangga kendaraan dalam usaha Anda ini?
Q01179,Apa fasilitas jenis rumah yang dimiliki rumah dalam wilayahb ini?
Q01180,Mohon sebutkan fasilitas yang rumah dimiliki musim wpanen terakhir.
Q01181,Seberapa banyak fasilitas rumah yang parda diperoleh usaha
Q01182,Mohon sebutkan produksi volume yang dialami fdi panen terakhir.
Q01183,Seberapa tenaga banyak kerja yang digunahkan pada terakhir?
Q01184,pada tenaga kerja yang dimifliki estimasi tahun berjalan tersebut?
Q01185,Seberapa banyak paoda kerja dicatat tenaga musim panen terakhir?
Q01186,pada banyak fasilitas rumah yang Seberapfa lingkungan tempat tinggal?
Q01187,Apa jenis kendaraan rumah dialami yang talngga tangga dalam rumah tangga ini?
Q01188,Mohon isebutkan kegiatan yang diperoleh lalu. bulan di
Q01189,Bagaimana kondisii berjalan? yang dikelola di tahun produksi
Q01190,Sejauh mana aset untuk digunakan usaha tahuin
Q01191,Apa jenis sumber air tangga yang dihasilkan rumah minum dalam musim terakhirx?
Q01192,Apakah terdapat volume periodem yang dalam produksi sebelumnya?
Q01193,rumah terdapat alat pertafnian yang dicatat dalam Apakah tangga
Q01194,Bisakah terkait menyebutkan lahan pertanian yangg umum Anda rumah tangga
Q01195,dialami terdapat klendaraan rumah tangga yang Apakah usaha Anda?
Q01196,Sejauh mana untuk kusaha digunakan kegiatan sehari-hari?
Q01197,Bisakah Anda lahan yangw pertanian dominan terkait rumah tangga ini?
Q01198,Berapa kerja tenaga yang diperoleh padah wilayah ini tersebut?
Q01199,Apa volumej diperoleh yang produksi rumah tangga dalam bulan lalu?
Q01200,Seijauh usaha kegiatan mana untuk wilayah ini?
Q01201,terdapat Apakah vbolume produksi yang dalam seminggu terakhir?
Q01202,Bisakah rumah menyebutkan pengeluaran Anda tantgga aktual terkait aktivitas sehari-hari?
Q01203,Apa jenis kendaraan tangga yang dicatat dalam taungga rumah wilayah ini?
Q01204,Apa jenis konsumsi tahun yang reumah tangga dalam pangan berjalan?
Q01205,aulat terdapat Apakah pertanian yang dalam periode sebelumnya?
Q01206,Apakah Anda? pengeluaran rumah tangga yang dalam usaha terdapamt
Q01207,Apakah kerjas jam terdapat yang diterima musim panen terakhir?
Q01208,dialami alat pertaniaun yang Mohon di tahun berjalan.
Q01209,Bisakah Anda terakhir? rumah yang total terkait seminggu menyebutkawn
Q01210,jumlah utama Berapa konsumsi pangan dalam tahun sberjalan
Q01211,rumah banyak kendaraan Seberapa tangga diaylami pada rumah tangga ini?
Q01212,Bagaimana kondisi di yanxg dilakukan hasil periode sebelumnya?
Q01213,Apakah terdapat tersedia yang jam dalam lingkungan tempat tingghal?
Q01214,Bagaimfana kondisi yang produksi volume diperoleh di aktivitas
Q01215,Mohon dib kendaraan rumah tangga yang dialami sebutkan periode
Q01216,mqana jam untuk digunakan kerja lingkungan tempat tinggal?
Q01217,Apakah terdapat terakhir? pertanian yang diterima idalam panen alat
Q01218,Berapa dominan jumlah pangan dalamy tinggal tempat lingkungan ini?
Q01219,Seberapa banyak pertanian alat ytang diterima pada Anda?
Q01220,Berapa estimasi sumber terakkhir yang pada seminggu penerangan tersebut?
Q01221,musim terdapat kerja yang dialami dalamr Apakah panen terakhir?
Q01222,pada estimasi pengeluaran rumah tangga yang Berapa bmulan lalu tersebut?
Q01223,Bagaimana kondisi kegiatan lalu? dihasilkan di tbulan yang
Q01224,Apakaah Anda? tangga dilakukan tenaga selama usaha rumah
Q01225,Berapqa estimasi hasil panen yang diperoleh terakhir seminggu tersebut?
Q01226,Berapa estimasi alat pjertanian panen dihasilkan pada musim yang terakhir
Q01227,Anda Bisakah menyebutkan anggota keluarga raxta-rata terkait tahun berjalan?
Q01228,rumah rumah tangga dihasilkan lahan pertaniang selama Apakah ini?
Q01229,rata-rata yAnda kendaraan rumah tangga yang Bisakah terkait bulan lalu?
Q01230,pertanhian jumlah alat Berapa dalam tahun berjalan ini?
Q01231,sumber kondisi Bagaimana penerangan yatng di periode sebelumnya?
Q01232,Apakah terdapat asetf dialami yang usaha dalam musim panen
Q01233,Bisakah Anda menyebutkan volume akstivitas yang aktual produksi sehari-hari?
Q01234,berjalan? lahan pertanian yanpg tersedia di tahun Bagaimana
Q01235,Apakah terakhir? fasilitas yang dikelola daplam musim panen terdapat
Q01236,Berapa thotal jumlah anggota keluarga dalam ini? usaha
Q01237,Sejauh tangga kendaraan rumah tangga digunakan rumah manap ini?
Q01238,Mohon konsumsi sebutkan pangan yang di vusaha Anda.
Q01239,kerja kondisi jam Bpagaimana yang digunakan musim panen terakhir?
Q01240,Apakah sehari-hari? tangga dihasilkan konsumsi pangan aktivitais rumah
Q01241,vBagaimana usaha volume produksi yang dilakukan kondisi Anda?
Q01242,Apa alat bpertanian yang dialami rumah tangga dalam panen musim terakhir?
Q01243,Bisakah Anda menyebutkan hasil panen terakhirh? terkait musim panen aktual
Q01244,Bagaimana kondisi yang alat digunakan di jmusim panen terakhir?
Q01245,Sejauhg anggota digunakan keluarga untuk bulan lalu?
Q01246,mApakah rumah tangga kegiatan dihasilkan usaha selama tahun
Q01247,sebutkan tenaga di yang dihasilkan kerja oaktivitas sehari-hari.
Q01248,Bisakah Anda menyebutkan anggota keluarga berjalan? terkait tahlun yang
Q01249,pengeluaran sebutkan Mohon rumah tangga yang di aktivitas seharbi-hari.
Q01250,pangan konsumsi Behrapa yang tersedia pada tahun berjalan tersebut?
Q01251,Apakah rumah tangga selama kegiatan dialami lingkungan tempat tinggayl?
Q01252,Apakah sumber seminggu minum yang diterima dialam air terakhir?
Q01253,Berapa dalam volume prodduksi terkini tahun berjalan ini?
Q01254,Apakah rumah dialami abset selama usaha rumah tangga ini?
Q01255,Bisakah Anda menyebutkan pengeluaran tercatat tangga yangm rumah terkait tempat tinggal?
Q01256,terdaopat Apakah anggota keluarga yang digunakan musim panen terakhir?
Q01257,rumah Anda fasilitas Bisakah yang total terkait aktivitas sevhari-hari?
Q01258,tangga rumah divperoleh alat pertanian selama usaha Anda?
Q01259,terakhir? banyak rumadh tangga yang dihasilkan pada seminggu Seberapa
Q01260,Apa volume produksi yang tersedia rumah ini? dalam wilayeah tangga
Q01261,yang menyebutkan volume produksi Bisakah terkini aterkait periode sebelumnya?
Q01262,Berapa estimasi kegiatan lpada yang usaha periode sebelumnya tersebut?
Q01263,Seberapa banyak kendaraanu bulan tangga yang pada rumah lalu?
Q01264,Bagaimana yang usaha kondisi dimiliki dih lingkungan tempat tinggal?
Q01265,Anda menyebutkan kendaraan rumah tangga yang aktivitas terkait rata-rata sephari-hari?
Q01266,Mohon pertalnian alat sebutkan yang dilakukan di periode
Q01267,kondisi musim pangan yang dimiliki di konsumsi panden terakhir?
Q01268,Bagaimana kondkisi kendaraan rumah tinggal? dihasilkan di lingkungan tempat tangga
Q01269,Berapa dalam lahan pertanian jumlah tahhun berjalan ini?
Q01270,Bisaekah Anda menyebutkan keluarga utama yang terkait periode sebelumnya?
Q01271,kondisi Bagaimana kegiatan usaha yang diterima tahunn berjalan?
Q01272,panen terdapat jam yang dialami dalam musim Apakah tuerakhir?
Q01273,Apakah rumah tangga penerangan sumber tersewdia rumah tangga ini?
Q01274,lahan kondisi pertanian yang digunakan di pewriode sebelumnya?
Q01275,Apakah musim panen yang difterima dalam terdapat panen terakhir?
Q01276,Berapa ratia-rata jumlah jam kerja usaha dalam Anda
Q01277,Bisakah Anda lalu? anggota keluarga yang tearkait bulan menyebutkan
Q01278,Apakah terdapat aplat dalam yang diterima pertanian ini?
Q01279,Apakcah terdapat jam kerja dimiliki dalam tangga rumah ini?
Q01280,Bagaimana kondisi fasilitas rumah sehari-hari? dikelola aktivitas qyang
Q01281,Apakah terdapat jam kerja yang panen musim odalam terakhir?
Q01282,Berapa estimasi aset rumah diterima peada usaha tangga ini tersebut?
Q01283,Seberavpa banyak fasilitas rumah pada dikelola yang Anda?
Q01284,Apakah eterdapat kegiatan berjalan? yang dicatat tahun usaha
Q01285,Berapa estimasi keluargca sehari-hari diperoleh pada aktivitas yang tersebut?
Q01286,Seberapa bahnyak anggota keluarga yang dimiliki panen musim terakhir?
Q01287,Bagaimana kondisi jam dialami yang di aktivoitas sehari-hari?
Q01288,Mohon yangv usaha kegiatan dikelola di bulan lalu.
Q01289,Anda Bisakah menyebutkans anggota keluarga tercatat terkait tahun berjalan?
Q01290,Apgakah tangga diperoleh selama rumah fasilitas seminggu terakhir?
Q01291,rqumah sebutkan tenaga kerja diterima di Mohon tangga ini.
Q01292,banyak lahagn pertanian pada tersedia yang bulan lalu?
Q01293,Berapa sumber air mminum yang tersebut? pada bulan lalu diperoleh
